crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	15.424583	6930	431326560256.000000
281474976710655.000000	14.619363	6931	431327576064.000000
281474976710655.000000	18.362028	6932	431328657408.000000
281474976710655.000000	18.053911	6933	431329673216.000000
281474976710655.000000	14.593583	6934	431330721792.000000
281474976710655.000000	15.808463	6935	431331737600.000000
281474976710655.000000	17.784058	6936	431332818944.000000
281474976710655.000000	18.997177	6937	431333834752.000000
281474976710655.000000	11.790342	6938	431334883328.000000
281474976710655.000000	14.706707	6939	431335899136.000000
281474976710655.000000	18.491920	6940	431336947712.000000
281474976710655.000000	14.310964	6941	431337963520.000000
281474976710655.000000	13.594224	6942	431339044864.000000
281474976710655.000000	12.224571	6943	431340060672.000000
281474976710655.000000	16.165066	6944	431341109248.000000
281474976710655.000000	17.690407	6945	431342125056.000000
281474976710655.000000	11.404243	6946	431343206400.000000
281474976710655.000000	18.680159	6947	431344222208.000000
281474976710655.000000	14.132603	6948	431345270784.000000
281474976710655.000000	13.220800	6949	431346286592.000000
281474976710655.000000	16.176517	6950	431347367936.000000
281474976710655.000000	13.564951	6951	431348383744.000000
281474976710655.000000	15.096112	6952	431349432320.000000
281474976710655.000000	15.060086	6953	431350448128.000000
281474976710655.000000	15.359451	6954	431351529472.000000
281474976710655.000000	18.178169	6955	431352512512.000000
281474976710655.000000	13.980990	6956	431353593856.000000
281474976710655.000000	15.585088	6957	431354609664.000000
281474976710655.000000	15.081734	6958	431355658240.000000
281474976710655.000000	11.088519	6959	431356674048.000000
281474976710655.000000	12.871827	6960	431357755392.000000
281474976710655.000000	18.649157	6961	431358771200.000000
281474976710655.000000	15.349388	6962	431359819776.000000
281474976710655.000000	15.793829	6963	431360835584.000000
281474976710655.000000	14.778080	6964	431361916928.000000
281474976710655.000000	18.778517	6965	431362932736.000000
281474976710655.000000	11.340064	6966	431363981312.000000
281474976710655.000000	12.332708	6967	431364997120.000000
281474976710655.000000	16.678923	6968	431366045696.000000
281474976710655.000000	12.660442	6969	431367061504.000000
281474976710655.000000	12.981749	6970	431368142848.000000
281474976710655.000000	15.764785	6971	431369158656.000000
281474976710655.000000	12.509688	6972	431370207232.000000
281474976710655.000000	13.154984	6973	431371223040.000000
281474976710655.000000	14.871471	6974	431372304384.000000
281474976710655.000000	13.313868	6975	431373320192.000000
281474976710655.000000	15.532931	6976	431374368768.000000
281474976710655.000000	15.546965	6977	431375384576.000000
281474976710655.000000	16.029173	6978	431376433152.000000
281474976710655.000000	14.513759	6979	431377481728.000000
281474976710655.000000	13.815206	6980	431378530304.000000
281474976710655.000000	14.314187	6981	431379546112.000000
281474976710655.000000	15.170585	6982	431380594688.000000
281474976710655.000000	11.851485	6983	431381643264.000000
281474976710655.000000	10.791935	6984	431382691840.000000
281474976710655.000000	12.192634	6985	431383707648.000000
281474976710655.000000	10.691558	6986	431384756224.000000
281474976710655.000000	12.955507	6987	431385772032.000000
281474976710655.000000	13.923621	6988	431386853376.000000
281474976710655.000000	16.929502	6989	431387869184.000000
281474976710655.000000	11.491558	6990	431388917760.000000
281474976710655.000000	15.955893	6991	431389933568.000000
281474976710655.000000	12.403113	6992	431390982144.000000
281474976710655.000000	12.628838	6993	431392030720.000000
281474976710655.000000	16.788279	6994	431393079296.000000
281474976710655.000000	13.529717	6995	431394095104.000000
281474976710655.000000	16.130352	6996	431395143680.000000
281474976710655.000000	11.023157	6997	431396192256.000000
281474976710655.000000	17.893328	6998	431397240832.000000
281474976710655.000000	11.933338	6999	431398256640.000000
281474976710655.000000	12.038623	7000	431399305216.000000
281474976710655.000000	15.701802	7001	431400321024.000000
281474976710655.000000	11.562924	7002	431401402368.000000
281474976710655.000000	18.655087	7003	431402418176.000000
281474976710655.000000	14.966030	7004	431403466752.000000
